00:48:26.552 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
00:48:26.569 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
00:48:26.883 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
00:48:26.884 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@81296d[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
00:48:26.884 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1680944727644_127.0.0.1_56480
00:48:26.888 [nacos-grpc-client-executor-3873] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1680944727644_127.0.0.1_56480]Ignore complete event,isRunning:false,isAbandon=false
00:48:26.896 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@39d76203[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 3874]
00:48:27.059 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
00:48:27.066 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2138] - {dataSource-1} closing ...
00:48:27.071 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2211] - {dataSource-1} closed
00:48:27.071 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
00:48:33.704 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
00:48:34.132 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of b1445dab-618b-4bf7-8af7-e37a6bd83ee0_config-0
00:48:34.188 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 30 ms to scan 1 urls, producing 3 keys and 6 values 
00:48:34.217 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 4 keys and 9 values 
00:48:34.234 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 3 keys and 10 values 
00:48:34.250 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 5 values 
00:48:34.264 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
00:48:34.278 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
00:48:34.281 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b1445dab-618b-4bf7-8af7-e37a6bd83ee0_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
00:48:34.281 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b1445dab-618b-4bf7-8af7-e37a6bd83ee0_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$468/0x0000000800f3e598
00:48:34.281 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b1445dab-618b-4bf7-8af7-e37a6bd83ee0_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$469/0x0000000800f3e7c0
